hh1,hh2,area,zone,state,hh_members_num,hhsex,hhage,helevel,wi_quintile_mics,urban_wi_quintile_mics,fies_score,hh_mn_mean_age_yrs,hh_wm_mean_age_yrs,hh_mn_mean_life_satisfaction,hh_mn_overall_happiness,hh_wm_mean_life_satisfaction,hh_wm_overall_happiness
1.0,1.0,URBAN,South East,ABIA,4.0,Female,46.0,Primary,Fourth,Middle,7,,28.666666666666668,,,3.3333333333333335,0.0
1.0,2.0,URBAN,South East,ABIA,2.0,Female,45.0,Senior secondary,Fourth,Second,6,,30.5,,,5.5,1.0
1.0,3.0,URBAN,South East,ABIA,5.0,Male,41.0,Senior secondary,Fourth,Middle,5,,34.0,,,4.0,1.0
1.0,4.0,URBAN,South East,ABIA,4.0,Male,81.0,None,Middle,Poorest,7,33.0,38.0,5.0,0.0,8.0,1.0
1.0,5.0,URBAN,South East,ABIA,5.0,Male,63.0,Primary,Fourth,Middle,7,,23.0,,,4.0,1.0
1.0,6.0,URBAN,South East,ABIA,5.0,Male,54.0,Senior secondary,Fourth,Middle,5,24.0,27.0,5.0,1.0,7.0,2.0
1.0,7.0,URBAN,South East,ABIA,3.0,Male,45.0,Higher/tertiary,Richest,Fourth,6,,43.0,,,10.0,1.0
1.0,8.0,URBAN,South East,ABIA,1.0,Male,34.0,Senior secondary,Fourth,Middle,5,34.0,,4.0,0.0,,
1.0,9.0,URBAN,South East,ABIA,2.0,Male,73.0,Primary,Middle,Second,6,,,,,,
1.0,10.0,URBAN,South East,ABIA,6.0,Male,41.0,Senior secondary,Richest,Fourth,7,41.0,35.0,3.0,0.0,5.0,1.0
1.0,11.0,URBAN,South East,ABIA,1.0,Male,31.0,Senior secondary,Fourth,Middle,3,,,,,,
1.0,12.0,URBAN,South East,ABIA,3.0,Female,43.0,Senior secondary,Richest,Fourth,4,17.0,43.0,4.0,0.0,5.0,0.0
1.0,13.0,URBAN,South East,ABIA,4.0,Male,39.0,Higher/tertiary,Fourth,Middle,6,,37.0,,,6.0,1.0
1.0,14.0,URBAN,South East,ABIA,2.0,Male,33.0,Senior secondary,Fourth,Middle,7,32.0,,5.0,0.0,,
1.0,15.0,URBAN,South East,ABIA,6.0,Male,40.0,Senior secondary,Fourth,Middle,2,,36.0,,,10.0,1.0
1.0,16.0,URBAN,South East,ABIA,6.0,Male,53.0,Primary,Middle,Poorest,7,,42.0,,,3.0,0.0
1.0,17.0,URBAN,South East,ABIA,2.0,Male,75.0,Higher/tertiary,Richest,Fourth,8,,,,,,
1.0,18.0,URBAN,South East,ABIA,4.0,Male,67.0,Primary,Fourth,Middle,8,27.0,,4.5,0.0,,
1.0,19.0,URBAN,South East,ABIA,9.0,Male,68.0,Higher/tertiary,Richest,Richest,8,,35.5,,,5.0,2.0
1.0,20.0,URBAN,South East,ABIA,6.0,Male,47.0,Senior secondary,Richest,Fourth,8,31.0,41.0,4.0,1.0,9.0,1.0
2.0,1.0,URBAN,South East,ABIA,5.0,Male,36.0,Senior secondary,Richest,Fourth,0,,32.0,,,5.0,1.0
2.0,2.0,URBAN,South East,ABIA,4.0,Male,39.0,Higher/tertiary,Richest,Richest,0,39.0,31.0,5.0,1.0,5.0,1.0
2.0,3.0,URBAN,South East,ABIA,3.0,Male,44.0,Higher/tertiary,Richest,Richest,0,,34.0,,,5.0,1.0
2.0,4.0,URBAN,South East,ABIA,5.0,Male,42.0,Higher/tertiary,Richest,Richest,0,42.0,36.0,5.0,1.0,6.0,1.0
2.0,5.0,URBAN,South East,ABIA,2.0,Female,22.0,Senior secondary,Fourth,Middle,6,,22.0,,,3.0,0.0
2.0,6.0,URBAN,South East,ABIA,1.0,Male,37.0,Higher/tertiary,Richest,Richest,6,37.0,,4.0,1.0,,
2.0,7.0,URBAN,South East,ABIA,4.0,Male,39.0,Senior secondary,Richest,Richest,5,,35.0,,,4.0,1.0
2.0,8.0,URBAN,South East,ABIA,4.0,Female,47.0,Senior secondary,Fourth,Middle,6,25.0,30.0,6.0,1.0,3.3333333333333335,0.0
2.0,9.0,URBAN,South East,ABIA,3.0,Male,50.0,Junior secondary,Middle,Second,6,,44.0,,,4.0,0.0
2.0,10.0,URBAN,South East,ABIA,2.0,Female,66.0,None,Fourth,Second,6,,30.0,,,4.0,1.0
2.0,11.0,URBAN,South East,ABIA,5.0,Female,52.0,None,Middle,Second,7,,18.0,,,4.0,2.0
2.0,12.0,URBAN,South East,ABIA,1.0,Male,63.0,Primary,Fourth,Second,7,,,,,,
2.0,13.0,URBAN,South East,ABIA,8.0,Male,51.0,Primary,Fourth,Middle,8,,26.666666666666668,,,3.6666666666666665,3.0
2.0,14.0,URBAN,South East,ABIA,1.0,Female,50.0,Primary,Fourth,Second,6,,,,,,
2.0,15.0,URBAN,South East,ABIA,1.0,Male,64.0,Primary,Fourth,Second,8,,,,,,
2.0,16.0,URBAN,South East,ABIA,4.0,Male,63.0,Junior secondary,Fourth,Second,5,17.0,15.0,7.0,1.0,4.0,1.0
2.0,17.0,URBAN,South East,ABIA,2.0,Female,60.0,Primary,Fourth,Second,0,,32.0,,,6.0,1.0
2.0,18.0,URBAN,South East,ABIA,1.0,Male,70.0,Primary,Fourth,Second,5,,,,,,
2.0,19.0,URBAN,South East,ABIA,2.0,Male,47.0,Senior secondary,Fourth,Second,0,,36.0,,,4.0,1.0
2.0,20.0,URBAN,South East,ABIA,5.0,Male,46.0,Senior secondary,Middle,Second,8,46.0,40.0,6.0,1.0,3.0,1.0
3.0,1.0,URBAN,South East,ABIA,1.0,Female,60.0,Primary,Fourth,Second,7,,,,,,
3.0,2.0,URBAN,South East,ABIA,5.0,Male,54.0,Primary,Fourth,Second,8,,39.0,,,4.0,1.0
3.0,3.0,URBAN,South East,ABIA,3.0,Female,56.0,Primary,Fourth,Second,7,,,,,,
3.0,4.0,URBAN,South East,ABIA,2.0,Female,36.0,Primary,Fourth,Second,7,,36.0,,,4.0,1.0
3.0,5.0,URBAN,South East,ABIA,1.0,Female,32.0,Senior secondary,Middle,Second,6,,32.0,,,5.0,1.0
3.0,6.0,URBAN,South East,ABIA,2.0,Male,38.0,Higher/tertiary,Richest,Richest,0,38.0,29.0,8.0,1.0,5.0,1.0
3.0,7.0,URBAN,South East,ABIA,5.0,Male,40.0,Senior secondary,Fourth,Second,5,,35.0,,,5.0,1.0
3.0,8.0,URBAN,South East,ABIA,1.0,Male,28.0,Senior secondary,Fourth,Middle,3,28.0,,5.0,1.0,,
3.0,9.0,URBAN,South East,ABIA,6.0,Male,39.0,Primary,Fourth,Middle,7,,32.0,,,6.0,1.0
3.0,10.0,URBAN,South East,ABIA,4.0,Male,37.0,Senior secondary,Fourth,Middle,8,37.0,28.0,6.0,1.0,5.0,1.0
3.0,11.0,URBAN,South East,ABIA,5.0,Male,40.0,Senior secondary,Fourth,Middle,8,,34.0,,,3.0,0.0
3.0,12.0,URBAN,South East,ABIA,4.0,Male,33.0,Senior secondary,Fourth,Middle,8,33.0,30.0,6.0,1.0,3.0,0.0
3.0,13.0,URBAN,South East,ABIA,4.0,Male,41.0,Senior secondary,Fourth,Middle,0,,34.0,,,3.0,1.0
3.0,14.0,URBAN,South East,ABIA,4.0,Female,48.0,Primary,Fourth,Middle,8,17.0,29.333333333333332,8.0,1.0,3.6666666666666665,0.0
3.0,15.0,URBAN,South East,ABIA,2.0,Male,70.0,Primary,Fourth,Middle,8,,,,,,
3.0,16.0,URBAN,South East,ABIA,2.0,Male,90.0,Senior secondary,Richest,Fourth,4,,38.0,,,4.0,1.0
3.0,17.0,URBAN,South East,ABIA,2.0,Male,49.0,Primary,Fourth,Middle,7,,46.0,,,4.0,1.0
3.0,18.0,URBAN,South East,ABIA,5.0,Male,51.0,Senior secondary,Fourth,Second,8,,27.0,,,4.0,2.0
3.0,19.0,URBAN,South East,ABIA,2.0,Male,46.0,Senior secondary,Middle,Second,5,,39.0,,,5.0,1.0
3.0,20.0,URBAN,South East,ABIA,2.0,Female,61.0,Primary,Middle,Second,7,31.0,,8.0,0.0,,
4.0,1.0,URBAN,South East,ABIA,7.0,Male,53.0,Senior secondary,Fourth,Second,7,,32.0,,,4.0,1.0
4.0,2.0,URBAN,South East,ABIA,7.0,Male,57.0,Senior secondary,Middle,Second,7,21.0,45.0,8.0,1.0,4.0,0.0
4.0,3.0,URBAN,South East,ABIA,5.0,Male,44.0,Junior secondary,Fourth,Middle,7,,39.0,,,3.0,0.0
4.0,4.0,URBAN,South East,ABIA,3.0,Male,60.0,Primary,Middle,Second,7,21.0,,1.0,0.0,,
4.0,5.0,URBAN,South East,ABIA,7.0,Male,41.0,Senior secondary,Fourth,Second,7,,38.0,,,2.0,0.0
4.0,6.0,URBAN,South East,ABIA,7.0,Male,63.0,Primary,Fourth,Middle,5,19.5,32.0,4.0,1.0,7.5,2.0
4.0,8.0,URBAN,South East,ABIA,7.0,Male,62.0,Primary,Fourth,Middle,4,18.0,,4.666666666666667,1.0,,
4.0,9.0,URBAN,South East,ABIA,7.0,Male,50.0,Senior secondary,Richest,Middle,2,,28.0,,,6.5,1.0
4.0,10.0,URBAN,South East,ABIA,3.0,Female,48.0,Senior secondary,Fourth,Middle,2,,34.5,,,7.5,1.0
4.0,11.0,URBAN,South East,ABIA,4.0,Male,36.0,Senior secondary,Fourth,Middle,2,,30.0,,,4.0,1.0
4.0,12.0,URBAN,South East,ABIA,6.0,Male,64.0,Primary,Fourth,Second,3,,15.0,,,3.0,0.0
4.0,13.0,URBAN,South East,ABIA,4.0,Male,65.0,Primary,Fourth,Middle,0,,27.0,,,8.0,1.0
4.0,14.0,URBAN,South East,ABIA,5.0,Female,30.0,Higher/tertiary,Richest,Richest,0,,30.0,,,6.0,1.0
4.0,15.0,URBAN,South East,ABIA,3.0,Female,26.0,Senior secondary,Richest,Fourth,0,,20.5,,,5.0,2.0
4.0,16.0,URBAN,South East,ABIA,3.0,Female,60.0,Primary,Fourth,Middle,2,,20.0,,,3.0,0.0
4.0,17.0,URBAN,South East,ABIA,6.0,Male,32.0,Junior secondary,Fourth,Middle,3,,35.0,,,4.0,0.0
4.0,18.0,URBAN,South East,ABIA,7.0,Male,54.0,Senior secondary,Fourth,Middle,0,18.0,48.0,5.0,1.0,4.0,0.0
4.0,19.0,URBAN,South East,ABIA,7.0,Male,57.0,Senior secondary,Richest,Fourth,5,,29.333333333333332,,,3.3333333333333335,0.0
4.0,20.0,URBAN,South East,ABIA,2.0,Male,41.0,Senior secondary,Richest,Fourth,2,41.0,39.0,3.0,0.0,3.0,0.0
5.0,1.0,URBAN,South East,ABIA,7.0,Male,42.0,Higher/tertiary,Fourth,Middle,3,36.0,16.0,6.0,2.0,4.0,1.0
5.0,2.0,URBAN,South East,ABIA,6.0,Male,57.0,Senior secondary,Fourth,Second,8,,31.5,,,4.0,2.0
5.0,3.0,URBAN,South East,ABIA,4.0,Male,60.0,Senior secondary,Fourth,Middle,0,,20.0,,,5.0,1.0
5.0,4.0,URBAN,South East,ABIA,2.0,Male,64.0,Primary,Fourth,Middle,6,,45.0,,,4.0,0.0
5.0,5.0,URBAN,South East,ABIA,2.0,Male,69.0,Primary,Fourth,Middle,3,,49.0,,,4.0,1.0
5.0,6.0,URBAN,South East,ABIA,5.0,Male,54.0,Senior secondary,Fourth,Middle,8,,28.666666666666668,,,4.333333333333333,2.0
5.0,7.0,URBAN,South East,ABIA,4.0,Male,39.0,Senior secondary,Fourth,Second,7,39.0,32.0,6.0,1.0,3.0,0.0
5.0,8.0,URBAN,South East,ABIA,5.0,Female,34.0,Senior secondary,Fourth,Middle,8,,34.0,,,3.0,0.0
5.0,9.0,URBAN,South East,ABIA,8.0,Male,40.0,Junior secondary,Fourth,Second,8,40.0,35.0,7.0,1.0,5.0,1.0
5.0,10.0,URBAN,South East,ABIA,3.0,Male,53.0,Senior secondary,Richest,Middle,7,,47.0,,,4.0,1.0
5.0,11.0,URBAN,South East,ABIA,4.0,Male,40.0,Primary,Fourth,Middle,3,40.0,28.5,5.0,1.0,5.0,2.0
5.0,12.0,URBAN,South East,ABIA,6.0,Male,35.0,Senior secondary,Fourth,Middle,1,,27.0,,,5.0,1.0
5.0,13.0,URBAN,South East,ABIA,3.0,Male,37.0,Senior secondary,Fourth,Second,0,37.0,25.0,6.0,1.0,5.0,1.0
5.0,14.0,URBAN,South East,ABIA,5.0,Male,55.0,Primary,Middle,Second,6,,48.0,,,5.0,1.0
5.0,15.0,URBAN,South East,ABIA,2.0,Male,48.0,Primary,Fourth,Middle,0,48.0,35.0,7.0,0.0,4.0,1.0
5.0,16.0,URBAN,South East,ABIA,3.0,Male,38.0,Senior secondary,Fourth,Middle,8,,32.0,,,5.0,0.0
5.0,17.0,URBAN,South East,ABIA,3.0,Male,37.0,Junior secondary,Fourth,Middle,8,37.0,35.0,7.0,1.0,4.0,0.0
5.0,18.0,URBAN,South East,ABIA,7.0,Male,52.0,Senior secondary,Fourth,Second,8,,32.0,,,4.0,0.0
5.0,19.0,URBAN,South East,ABIA,2.0,Male,42.0,Senior secondary,Fourth,Second,8,42.0,32.0,8.0,1.0,4.0,0.0
5.0,20.0,URBAN,South East,ABIA,5.0,Male,31.0,Senior secondary,Fourth,Second,8,,30.0,,,4.0,0.0
6.0,1.0,URBAN,South East,ABIA,2.0,Male,65.0,Primary,Middle,Second,7,,45.0,,,3.0,0.0
6.0,2.0,URBAN,South East,ABIA,6.0,Male,40.0,Primary,Fourth,Second,6,40.0,31.0,7.0,1.0,4.0,1.0
6.0,3.0,URBAN,South East,ABIA,4.0,Male,40.0,Junior secondary,Middle,Second,8,,25.0,,,2.0,0.0
6.0,4.0,URBAN,South East,ABIA,8.0,Male,48.0,Senior secondary,Fourth,Middle,2,48.0,25.25,7.0,1.0,4.75,3.0
6.0,5.0,URBAN,South East,ABIA,5.0,Male,63.0,Primary,Fourth,Middle,2,,,,,,
6.0,6.0,URBAN,South East,ABIA,7.0,Male,56.0,Higher/tertiary,Fourth,Middle,0,,23.0,,,3.5,1.0
6.0,7.0,URBAN,South East,ABIA,5.0,Female,42.0,Senior secondary,Richest,Fourth,8,,42.0,,,4.0,0.0
6.0,8.0,URBAN,South East,ABIA,7.0,Male,38.0,Higher/tertiary,Richest,Fourth,8,38.0,36.0,6.0,1.0,4.0,0.0
6.0,9.0,URBAN,South East,ABIA,5.0,Male,35.0,Senior secondary,Richest,Fourth,8,,31.0,,,4.0,0.0
6.0,10.0,URBAN,South East,ABIA,6.0,Male,34.0,Senior secondary,Richest,Fourth,8,34.0,30.0,7.0,1.0,5.0,1.0
6.0,11.0,URBAN,South East,ABIA,5.0,Male,43.0,Missing/DK,Fourth,Second,6,,37.0,,,4.0,1.0
6.0,12.0,URBAN,South East,ABIA,3.0,Male,42.0,Primary,Fourth,Second,8,42.0,29.0,5.0,1.0,4.0,1.0
6.0,13.0,URBAN,South East,ABIA,6.0,Male,51.0,Senior secondary,Middle,Second,5,,43.0,,,4.0,0.0
6.0,14.0,URBAN,South East,ABIA,3.0,Male,36.0,Senior secondary,Fourth,Middle,6,36.0,31.0,4.0,1.0,4.0,1.0
6.0,15.0,URBAN,South East,ABIA,1.0,Male,25.0,Senior secondary,Middle,Poorest,8,,,,,,
6.0,16.0,URBAN,South East,ABIA,7.0,Male,60.0,Primary,Fourth,Second,6,20.5,28.0,7.75,3.0,3.0,0.0
6.0,17.0,URBAN,South East,ABIA,3.0,Male,75.0,Primary,Fourth,Middle,8,,,,,,
6.0,18.0,URBAN,South East,ABIA,2.0,Female,65.0,Primary,Fourth,Second,8,,,,,,
6.0,19.0,URBAN,South East,ABIA,4.0,Male,40.0,Junior secondary,Richest,Fourth,7,,32.0,,,4.0,1.0
6.0,20.0,URBAN,South East,ABIA,6.0,Male,42.0,Senior secondary,Richest,Fourth,8,42.0,35.0,6.0,1.0,4.0,1.0
7.0,1.0,URBAN,South East,ABIA,6.0,Male,45.0,Junior secondary,Fourth,Second,6,45.0,37.0,2.0,0.0,5.0,1.0
7.0,2.0,URBAN,South East,ABIA,8.0,Male,36.0,Senior secondary,Richest,Fourth,5,,32.0,,,6.0,1.0
7.0,3.0,URBAN,South East,ABIA,9.0,Female,49.0,Higher/tertiary,Richest,Richest,6,28.0,25.75,3.0,0.0,4.75,3.0
7.0,4.0,URBAN,South East,ABIA,6.0,Male,42.0,Junior secondary,Richest,Fourth,5,,41.0,,,6.0,1.0
7.0,5.0,URBAN,South East,ABIA,6.0,Male,51.0,Higher/tertiary,Richest,Fourth,6,,43.0,,,6.0,1.0
7.0,6.0,URBAN,South East,ABIA,5.0,Male,45.0,Senior secondary,Fourth,Middle,6,,39.0,,,4.0,0.0
7.0,7.0,URBAN,South East,ABIA,7.0,Male,44.0,Senior secondary,Richest,Fourth,6,44.0,38.0,2.0,0.0,6.0,1.0
7.0,8.0,URBAN,South East,ABIA,3.0,Female,73.0,Primary,Fourth,Middle,6,,,,,,
7.0,9.0,URBAN,South East,ABIA,7.0,Male,42.0,Senior secondary,Fourth,Middle,5,24.666666666666668,42.0,3.6666666666666665,0.0,4.0,0.0
7.0,10.0,URBAN,South East,ABIA,5.0,Male,52.0,Senior secondary,Fourth,Middle,6,,,,,,
7.0,11.0,URBAN,South East,ABIA,3.0,Male,29.0,Senior secondary,Fourth,Middle,4,29.0,25.0,2.0,0.0,6.0,1.0
7.0,12.0,URBAN,South East,ABIA,5.0,Male,29.0,Senior secondary,Fourth,Second,4,,26.0,,,6.0,1.0
7.0,13.0,URBAN,South East,ABIA,5.0,Male,46.0,Senior secondary,Fourth,Middle,7,33.0,42.0,5.0,0.0,6.0,1.0
7.0,14.0,URBAN,South East,ABIA,6.0,Male,45.0,Senior secondary,Fourth,Middle,6,,35.0,,,4.0,0.0
7.0,15.0,URBAN,South East,ABIA,7.0,Male,73.0,Primary,Richest,Fourth,2,22.0,32.0,4.5,0.0,4.5,1.0
7.0,16.0,URBAN,South East,ABIA,4.0,Female,45.0,Senior secondary,Fourth,Middle,2,,29.0,,,5.333333333333333,1.0
7.0,17.0,URBAN,South East,ABIA,6.0,Female,41.0,Senior secondary,Fourth,Middle,5,20.0,41.0,5.0,0.0,5.0,1.0
7.0,18.0,URBAN,South East,ABIA,3.0,Male,43.0,Senior secondary,Richest,Fourth,4,,41.0,,,5.0,1.0
7.0,19.0,URBAN,South East,ABIA,4.0,Female,65.0,Junior secondary,Fourth,Middle,6,46.0,26.0,2.0,0.0,4.0,1.0
7.0,20.0,URBAN,South East,ABIA,3.0,Male,38.0,Senior secondary,Middle,Second,7,,29.0,,,5.0,0.0
8.0,1.0,URBAN,South East,ABIA,4.0,Female,53.0,Primary,Fourth,Middle,7,31.0,,3.0,0.0,,
8.0,2.0,URBAN,South East,ABIA,4.0,Male,35.0,Higher/tertiary,Richest,Fourth,5,,31.0,,,6.0,1.0
8.0,3.0,URBAN,South East,ABIA,6.0,Male,61.0,Senior secondary,Richest,Richest,6,21.0,26.0,5.0,0.0,5.0,0.0
8.0,4.0,URBAN,South East,ABIA,4.0,Male,38.0,Senior secondary,Fourth,Middle,4,,33.0,,,7.0,1.0
8.0,5.0,URBAN,South East,ABIA,4.0,Male,48.0,Senior secondary,Richest,Fourth,6,48.0,30.0,3.0,0.0,4.0,1.0
8.0,6.0,URBAN,South East,ABIA,8.0,Male,57.0,Senior secondary,Richest,Fourth,6,,18.0,,,5.5,2.0
8.0,7.0,URBAN,South East,ABIA,3.0,Male,31.0,Senior secondary,Fourth,Middle,4,31.0,19.0,5.0,0.0,6.0,1.0
8.0,8.0,URBAN,South East,ABIA,2.0,Female,69.0,Primary,Richest,Fourth,1,,29.0,,,7.0,1.0
8.0,9.0,URBAN,South East,ABIA,3.0,Male,33.0,Senior secondary,Richest,Fourth,5,33.0,24.0,4.0,0.0,7.0,1.0
8.0,10.0,URBAN,South East,ABIA,5.0,Female,30.0,None,Middle,Second,7,,30.0,,,4.0,0.0
8.0,11.0,URBAN,South East,ABIA,3.0,Female,54.0,Senior secondary,Fourth,Middle,4,21.0,,5.0,0.0,,
8.0,12.0,URBAN,South East,ABIA,2.0,Male,29.0,Senior secondary,Fourth,Middle,4,,32.0,,,6.0,1.0
8.0,13.0,URBAN,South East,ABIA,6.0,Female,53.0,Primary,Richest,Middle,6,20.0,18.0,3.0,0.0,9.0,1.0
8.0,14.0,URBAN,South East,ABIA,5.0,Male,54.0,Primary,Richest,Fourth,5,,31.0,,,9.0,2.0
8.0,15.0,URBAN,South East,ABIA,2.0,Male,45.0,Senior secondary,Richest,Fourth,1,30.5,,5.5,0.0,,
8.0,16.0,URBAN,South East,ABIA,3.0,Female,74.0,Primary,Fourth,Middle,6,,,,,,
8.0,17.0,URBAN,South East,ABIA,5.0,Male,49.0,Senior secondary,Fourth,Middle,6,49.0,31.0,3.0,0.0,3.5,0.0
8.0,18.0,URBAN,South East,ABIA,6.0,Male,43.0,Senior secondary,Richest,Fourth,4,,39.0,,,10.0,1.0
8.0,19.0,URBAN,South East,ABIA,5.0,Male,43.0,Senior secondary,Fourth,Middle,7,43.0,43.0,6.0,0.0,4.0,1.0
8.0,20.0,URBAN,South East,ABIA,8.0,Male,35.0,Senior secondary,Richest,Fourth,5,,25.5,,,3.5,1.0
9.0,1.0,URBAN,South East,ABIA,5.0,Male,67.0,Primary,Fourth,Middle,4,,32.0,,,4.5,2.0
9.0,2.0,URBAN,South East,ABIA,2.0,Male,28.0,Senior secondary,Fourth,Middle,6,26.5,,4.0,0.0,,
9.0,3.0,URBAN,South East,ABIA,10.0,Male,43.0,Senior secondary,Richest,Fourth,4,,26.0,,,9.0,2.0
9.0,4.0,URBAN,South East,ABIA,3.0,Male,27.0,Senior secondary,Fourth,Middle,4,27.0,20.0,5.0,0.0,10.0,1.0
9.0,5.0,URBAN,South East,ABIA,1.0,Female,49.0,Primary,Richest,Fourth,4,,49.0,,,5.0,1.0
9.0,6.0,URBAN,South East,ABIA,4.0,Male,28.0,Senior secondary,Fourth,Middle,6,28.0,24.0,3.0,0.0,9.0,1.0
9.0,7.0,URBAN,South East,ABIA,1.0,Male,37.0,Senior secondary,Fourth,Second,0,,,,,,
9.0,8.0,URBAN,South East,ABIA,1.0,Male,21.0,Junior secondary,Fourth,Second,6,21.0,,3.0,0.0,,
9.0,9.0,URBAN,South East,ABIA,2.0,Male,26.0,Senior secondary,Richest,Fourth,3,,24.0,,,6.0,1.0
9.0,10.0,URBAN,South East,ABIA,6.0,Male,38.0,Senior secondary,Richest,Fourth,6,38.0,35.0,3.0,0.0,4.0,1.0
9.0,11.0,URBAN,South East,ABIA,5.0,Male,35.0,Senior secondary,Fourth,Middle,3,,27.0,,,4.0,0.0
9.0,12.0,URBAN,South East,ABIA,5.0,Male,39.0,Senior secondary,Fourth,Middle,4,39.0,31.0,2.0,0.0,6.0,1.0
9.0,13.0,URBAN,South East,ABIA,1.0,Male,33.0,Primary,Middle,Second,3,,,,,,
9.0,14.0,URBAN,South East,ABIA,4.0,Male,36.0,Higher/tertiary,Fourth,Middle,6,36.0,32.0,2.0,0.0,5.0,1.0
9.0,15.0,URBAN,South East,ABIA,2.0,Male,65.0,Higher/tertiary,Fourth,Middle,2,,,,,,
9.0,16.0,URBAN,South East,ABIA,5.0,Male,29.0,Senior secondary,Middle,Second,4,29.0,23.0,3.0,0.0,6.0,1.0
9.0,17.0,URBAN,South East,ABIA,3.0,Male,34.0,Senior secondary,Fourth,Middle,4,,29.0,,,6.0,0.0
9.0,18.0,URBAN,South East,ABIA,9.0,Male,33.0,Higher/tertiary,Middle,Second,7,23.333333333333332,32.666666666666664,4.666666666666667,1.0,6.0,2.0
9.0,19.0,URBAN,South East,ABIA,7.0,Male,58.0,Senior secondary,Richest,Richest,0,,40.0,,,10.0,1.0
9.0,20.0,URBAN,South East,ABIA,1.0,Male,30.0,Senior secondary,Richest,Fourth,8,30.0,,3.0,0.0,,
10.0,1.0,RURAL,South East,ABIA,5.0,Male,49.0,Senior secondary,Fourth,,7,,34.0,,,6.0,0.0
10.0,3.0,RURAL,South East,ABIA,1.0,Female,74.0,None,Second,,5,,,,,,
10.0,4.0,RURAL,South East,ABIA,1.0,Male,24.0,Primary,Fourth,,0,24.0,,7.0,1.0,,
10.0,5.0,RURAL,South East,ABIA,2.0,Female,60.0,None,Middle,,7,,,,,,
10.0,6.0,RURAL,South East,ABIA,3.0,Male,55.0,None,Second,,6,,47.0,,,2.0,0.0
10.0,7.0,RURAL,South East,ABIA,1.0,Female,68.0,Primary,Middle,,0,,,,,,
10.0,8.0,RURAL,South East,ABIA,1.0,Male,37.0,Senior secondary,Second,,2,37.0,,8.0,0.0,,
10.0,9.0,RURAL,South East,ABIA,3.0,Female,65.0,Primary,Second,,5,,19.0,,,2.0,0.0
10.0,11.0,RURAL,South East,ABIA,1.0,Female,64.0,None,Poorest,,8,,,,,,
10.0,12.0,RURAL,South East,ABIA,2.0,Male,69.0,Primary,Second,,4,,,,,,
10.0,13.0,RURAL,South East,ABIA,4.0,Female,77.0,None,Second,,6,,,,,,
10.0,14.0,RURAL,South East,ABIA,4.0,Male,50.0,Senior secondary,Middle,,7,,34.0,,,4.0,1.0
10.0,15.0,RURAL,South East,ABIA,4.0,Female,64.0,None,Second,,2,,,,,,
10.0,16.0,RURAL,South East,ABIA,4.0,Female,62.0,None,Middle,,0,27.0,45.0,5.0,1.0,7.0,1.0
10.0,17.0,RURAL,South East,ABIA,7.0,Female,61.0,None,Second,,3,,26.0,,,3.0,0.0
10.0,18.0,RURAL,South East,ABIA,2.0,Female,65.0,None,Second,,7,,,,,,
10.0,19.0,RURAL,South East,ABIA,4.0,Female,42.0,Senior secondary,Second,,2,,42.0,,,3.0,0.0
10.0,20.0,RURAL,South East,ABIA,1.0,Male,40.0,Senior secondary,Second,,7,40.0,,9.0,0.0,,
11.0,1.0,RURAL,South East,ABIA,2.0,Female,51.0,Primary,Middle,,8,16.0,,8.0,0.0,,
11.0,2.0,RURAL,South East,ABIA,3.0,Male,92.0,Primary,Richest,,0,,37.0,,,5.0,1.0
11.0,3.0,RURAL,South East,ABIA,8.0,Male,30.0,Senior secondary,Richest,,6,30.0,28.0,7.0,0.0,5.0,1.0
11.0,4.0,RURAL,South East,ABIA,2.0,Female,90.0,Primary,Middle,,5,,,,,,
11.0,5.0,RURAL,South East,ABIA,2.0,Male,82.0,Primary,Richest,,0,,,,,,
11.0,6.0,RURAL,South East,ABIA,1.0,Male,32.0,Higher/tertiary,Richest,,0,,,,,,
11.0,7.0,RURAL,South East,ABIA,1.0,Female,69.0,Primary,Richest,,0,,,,,,
11.0,8.0,RURAL,South East,ABIA,2.0,Female,72.0,None,Richest,,0,,,,,,
11.0,9.0,RURAL,South East,ABIA,1.0,Male,42.0,Primary,Fourth,,2,42.0,,7.0,1.0,,
11.0,10.0,RURAL,South East,ABIA,5.0,Male,49.0,Higher/tertiary,Richest,,8,,40.0,,,5.0,1.0
11.0,11.0,RURAL,South East,ABIA,5.0,Male,40.0,Primary,Fourth,,7,40.0,25.0,6.0,0.0,4.0,1.0
11.0,12.0,RURAL,South East,ABIA,4.0,Male,70.0,None,Middle,,6,,29.0,,,4.0,1.0
11.0,13.0,RURAL,South East,ABIA,3.0,Male,86.0,Senior secondary,Fourth,,4,,,,,,
11.0,14.0,RURAL,South East,ABIA,5.0,Male,32.0,Senior secondary,Middle,,5,,25.0,,,6.0,1.0
11.0,15.0,RURAL,South East,ABIA,6.0,Male,40.0,Higher/tertiary,Middle,,5,40.0,27.0,6.0,1.0,4.0,1.0
11.0,16.0,RURAL,South East,ABIA,6.0,Male,38.0,Senior secondary,Middle,,5,,29.0,,,4.0,1.0
11.0,17.0,RURAL,South East,ABIA,6.0,Male,42.0,Higher/tertiary,Fourth,,7,42.0,28.0,6.0,1.0,4.0,0.0
